state,cycle,as_of_date,basis,reg_total,reg_dem,reg_rep,reg_oth,reg_npa,npa_label,source_url,retrieved_at,note
AK,2022,2022-10-03,unstated,600894,77038,144045,30834,348977,Nonpartisan + Undeclared,https://www.elections.alaska.gov/statistics/2022/OCT/VOTERS%20BY%20PARTY%20AND%20PRECINCT.pdf,2026-09-07,NPA = N Nonpartisan 83119 + U Undeclared 265858; report never says active vs inactive. W column summed from 401 precinct rows (printed summary line clips it).
AK,2024,2024-10-03,unstated,609933,75066,146161,30976,357730,Nonpartisan + Undeclared,https://www.elections.alaska.gov/statistics/2024/OCT/VOTERS%20BY%20PARTY%20AND%20PRECINCT.pdf,2026-09-07,NPA = N Nonpartisan 84690 + U Undeclared 273040; report never says active vs inactive.
AK,2026,2026-09-03,unstated,603310,69894,142184,10208,381024,Nonpartisan + Undeclared,https://www.elections.alaska.gov/statistics/2026/SEP/VOTERS%20BY%20PARTY%20AND%20PRECINCT.htm,2026-09-07,"NPA = N Nonpartisan 82002 + U Undeclared 299022; Alaskan Independence Party (code A, 19080 in 2024) no longer a column."
AR,2026,2026-07-17,unstated,1831054,84043,153227,869,1592912,Optional,http://www.sos.arkansas.gov/uploads/elections/VR_7-17-26.pdf,2026-09-07,"'Party' is optional on the AR form and 87% of registrants are coded Optional; the D/R split covers only 13% of the file and is NOT a usable registration anchor. reg_oth = Libertarian 744 + Green 124 + Other 1; the separate 'Nonpartisan Judicial' column (3 statewide) is in neither bucket, so dem+rep+oth+npa = total - 3."
AZ,2022,2022-10-11,active,4143929,1270544,1436852,1436533,,,https://apps.azsos.gov/election/VoterReg/2022/State_Voter_Registration_2022_General.pdf,2026-09-07,"AZ prints no separate no-party bucket: its 'Other' column (1404385) mixes party-not-designated/independents with unrecognised parties, so reg_oth here = Libertarian 32148 + Other 1404385 and reg_npa is BLANK. as_of_date inferred (see caveats). Fetched via Wayback; live site Cloudflare-blocked."
AZ,2024,2024-10-07,active,4367593,1266536,1562091,1538966,,,https://apps.azsos.gov/election/VoterReg/2024/State_Voter_Registration_October_2024.pdf,2026-09-07,Same 'Other' caveat: reg_oth = Libertarian 31132 + No Labels 32338 + Green 4187 + Other 1471309. as_of_date stated in AZ SOS press release. Fetched via Wayback; live site Cloudflare-blocked.
AZ,2026,2026-04-01,active,4340860,1221223,1542604,1577033,,,https://apps.azsos.gov/election/VoterReg/2026/State-Voter-Registration-April-2026.csv,2026-09-07,NOT the newest AZ report: a July 2026 report exists but is unfetchable (see NOT FOUND). reg_oth = Libertarian 30748 + No Labels 44504 + Green 5192 + Other 1496589. Fetched via Wayback; live site Cloudflare-blocked.
CA,2022,2022-10-24,active,21940274,10283258,5232094,1481226,4943696,No Party Preference,https://elections.cdn.sos.ca.gov/ror/15day-general-2022/county.pdf,2026-09-07,15-day Report of Registration for the 11/8/2022 general. 'Unknown' (109491) is bucketed into reg_oth — see bucketing note.
CA,2024,2024-10-21,active,22595659,10355081,5638209,1616303,4986066,No Party Preference,https://elections.cdn.sos.ca.gov/ror/15day-gen-2024/county.pdf,2026-09-07,15-day Report of Registration for the 11/5/2024 general. 'Unknown' (95001) bucketed into reg_oth.
CA,2026,2026-05-18,active,23155447,10397692,5779786,1693001,5284968,No Party Preference,https://elections.cdn.sos.ca.gov/ror/15day-primary-2026/county.pdf,2026-09-07,Most recent CA ROR published as of 2026-09-07 (15-day report for the 6/2/2026 primary); no 2026-general ROR exists yet. 'Unknown' (88047) bucketed into reg_oth.
CO,2022,2022-11-01,active,3806454,1058592,940970,69925,1736967,Unaffiliated,https://www.coloradosos.gov/pubs/elections/VoterRegNumbers/2022/OctoberStatistics.xlsx,2026-09-07,File is labelled 'October statistics' but its own header says 'as of 03:30 on 11/01/2022'. Active only; inactive 534344 and prereg 67932 excluded.
CO,2024,2024-11-01,active,4018917,1046870,936583,90819,1944645,Unaffiliated,https://www.coloradosos.gov/pubs/elections/VoterRegNumbers/2024/20241101statistics.xlsx,2026-09-07,Labelled 'October statistics'; header says 'as of 00:17 on 11/01/2024'. Active only; inactive 536679 and prereg 67054 excluded.
CO,2026,2026-09-01,active,4006449,987582,887577,97136,2034154,Unaffiliated,https://www.coloradosos.gov/pubs/elections/VoterRegNumbers/2026/AugustStatistics2026.xlsx,2026-09-07,Labelled 'August statistics'; header says 'as of 00:30 on 09/01/2026'. Most recent CO monthly. Active only; inactive 576778 and prereg 119009 excluded.
CT,2022,2022-11-01,active,2237016,813384,463401,36017,924214,Unaffiliated,https://portal.ct.gov/-/media/sots/electionservices/registration_and_enrollment_stats/nov22re.pdf,2026-09-07,Source prints Active and Inactive separately; active preferred. Active+inactive equivalents: total 2474398 / dem 898303 / rep 502482 / minor 40143 / unaff 1033470.
CT,2024,2024-10-31,active,2303767,822499,488041,35445,957782,Unaffiliated,https://portal.ct.gov/-/media/sots/electionservices/2024/2024-registration-and-enrollment-statistics/2024_november_reg-party_enrollments.pdf,2026-09-07,Active preferred. Active+inactive: total 2531599 / dem 900721 / rep 524977 / minor 39466 / unaff 1066435.
